-1,-1,-1,-1,-1,-1,2,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,2,1,1,1,1,5,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,2,1,5,5,5,5,5,20,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,1,5,20,5,5,2,1,5,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1
2,5,20,5,20,5,2,5,20,5,5,2,-1,-1,-1,-1,-1,-1,-1,-1
1,2,1,1,5,1,2,5,5,5,20,2,-1,-1,-1,-1,-1,-1,-1,-1
-1,2,3,3,3,3,2,20,5,20,5,2,-1,-1,-1,-1,-1,-1,-1,-1
-1,2,3,3,3,3,1,5,5,5,20,2,-1,-1,-1,-1,-1,-1,-1,-1
-1,2,3,3,3,3,5,5,20,20,5,1,2,-1,-1,-1,-1,-1,-1,-1
-1,2,3,3,3,5,2,5,20,5,5,5,2,-1,-1,-1,-1,-1,-1,-1
-1,1,1,1,1,1,2,20,5,20,5,5,2,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,2,5,5,5,2,1,1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,2,20,5,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,2,5,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
