-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,1,2,-1,-1,-1
2,1,1,1,2,-1,-1,2,1,1,1,1,1,5,5,5,2,-1,-1,-1
2,5,5,5,1,1,2,2,5,5,20,5,20,5,20,5,2,-1,-1,-1
2,5,20,5,5,5,1,1,5,1,1,5,1,1,5,5,1,2,-1,-1
2,5,5,5,20,5,20,5,5,5,5,5,20,5,5,20,5,2,-1,-1
1,1,2,5,20,5,5,10,11,5,10,11,5,5,5,5,5,1,2,-1
-1,-1,2,5,10,10,10,15,16,5,15,15,11,18,18,20,20,5,2,-1
-1,2,1,20,15,15,15,15,16,5,5,15,16,5,5,5,5,5,2,-1
-1,2,5,20,5,5,15,15,16,20,15,15,16,5,20,5,5,2,1,-1
-1,2,5,20,5,5,18,5,5,5,15,15,16,5,5,2,1,1,-1,-1
-1,2,5,20,20,5,20,5,18,5,5,5,20,20,5,2,-1,-1,-1,-1
-1,2,5,5,5,5,5,2,5,5,5,1,2,5,5,2,-1,-1,-1,-1
-1,1,1,1,2,1,1,1,3,3,5,3,1,1,2,1,-1,-1,-1,-1
-1,-1,-1,-1,2,3,3,3,3,3,3,3,3,3,2,-1,-1,-1,-1,-1
-1,-1,-1,-1,2,3,3,3,3,3,3,3,3,3,2,-1,-1,-1,-1,-1
-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
